codigo,ano,classificacao,lag_era5_h,n_pares,bias_c,rmse_c,correlacao
A355,2017,controle,-13,7790,-0.7461786270141602,3.2317276000976562,0.22577433272967978
A355,2017,controle,-12,7793,-0.743872880935669,3.262208938598633,0.20361899000284314
A355,2017,controle,-11,7796,-0.742056667804718,3.270305633544922,0.1964925886923657
A355,2017,controle,-10,7800,-0.7403954267501831,3.255077838897705,0.205280987666446
A355,2017,controle,-9,7808,-0.7403529286384583,3.214215040206909,0.23231864845376168
A355,2017,controle,-8,7818,-0.7415269613265991,3.145749092102051,0.2778812196793768
A355,2017,controle,-7,7828,-0.7430012226104736,3.0491762161254883,0.3407603316754836
A355,2017,controle,-6,7840,-0.7463593482971191,2.9269604682922363,0.41869459034695455
A355,2017,controle,-5,7852,-0.7498034238815308,2.781700372695923,0.5068929422083
A355,2017,controle,-4,7867,-0.7540233135223389,2.6212351322174072,0.5990217327542261
A355,2017,controle,-3,7883,-0.7580353021621704,2.4547247886657715,0.6879921582691538
A355,2017,controle,-2,7903,-0.762953519821167,2.2926454544067383,0.7688979106880912
A355,2017,controle,-1,7925,-0.7673483490943909,2.156273365020752,0.8321167217492832
A355,2017,controle,0,7954,-0.7702254056930542,2.0735349655151367,0.8678946620605512
A355,2017,controle,1,7925,-0.765001118183136,2.065898895263672,0.8697715186860103
A355,2017,controle,2,7903,-0.7606277465820312,2.1297454833984375,0.8411061564163879
A355,2017,controle,3,7883,-0.7563804984092712,2.246009349822998,0.7877012459019332
